kbli_kode,kbli_nama,total_investasi_rp_juta,total_investasi_us_ribu,total_tki,row_count,percentage_share
24,Industri Logam Dasar,77974614.465819,4725734.210703425,14706,177,15.23583106127792
68,Real Estat,37790593.649801,2290339.009200529,17586,947,7.384083967560566
46,"Perdagangan Besar, Bukan Mobil Dan Sepeda Motor",24475622.034624,1483371.0323111895,80481,1461,4.782408287541968
7,Pertambangan Bijih Logam,24373956.756403,1477209.5006995061,6061,140,4.7625434249275855
35,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",22064052.209077,1337215.285445506,5190,485,4.311200180823905
52,Pergudangan dan Aktivitas Penunjang Angkutan,21003061.38252,1272912.8110268335,15949,605,4.103888133156465
10,Industri Makanan,19475594.204519,1180339.0426862028,40932,781,3.805429050862806
20,Industri Bahan Kimia Dan Barang Dari Bahan Kimia,17168349.996311,1040506.0603902476,10305,365,3.354605623081979
1,"Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI",15002801.902025,909260.72132657,43558,579,2.9314688734405028
9,Aktivitas Jasa Penunjang Pertambangan,14275637.790604,865190.169081568,14302,209,2.7893848165800335
61,Telekomunikasi,11976712.581673,725861.3685194928,3231,407,2.3401868776644164
63,Aktivitas Jasa Informasi,11418601.431028,692036.450350636,3728,173,2.2311348834622495
29,"Industri Kendaraan Bermotor, Trailer Dan Semi Trailer",10344375.396054,626931.8422266087,13628,100,2.021236745425737
51,Angkutan Udara,10344116.856988002,626916.173169638,642,23,2.021186228247047
50,Angkutan Perairan,9616251.30368,582803.10928907,6604,138,1.878965113317578
17,Industri Kertas dan Barang Dari Kertas,9271507.968545,561909.5739101486,5705,150,1.8116040721684632
86,Aktivitas Kesehatan Manusia,9128746.980457,553257.392708563,25877,347,1.7837093231972665
22,"Industri Karet, Barang Dari Karet Dan Plastik",8507617.801936,515613.20010583417,18580,292,1.6623439365774368
15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",8464588.605528,513005.3699838907,47515,188,1.653936257082436
47,"Perdagangan Eceran, Bukan Mobil Dan Motor",8365429.310892,506995.71579393646,33539,700,1.634561050528618
16,"Industri Kayu, Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",8056666.380307001,488282.8109480106,10508,214,1.5742303918827805
55,Penyediaan Akomodasi,7641254.882480999,463106.356495623,11401,625,1.4930611620616592
5,Pertambangan Batu Bara dan Lignit,7541500.212585,457060.618927797,1415,89,1.4735696223019437
23,Industri Barang Galian Bukan Logam,6893373.240165,417780.196377048,8159,261,1.3469290082290475
27,Industri Peralatan Listrik,6551626.738584,397068.287166273,13884,136,1.2801535326522708
64,"Aktivitas Jasa Keuangan, Bukan Asuransi Dan Dana Pensiun",6491255.071915,393409.398302918,15289,456,1.2683572253468995
43,Konstruksi Khusus,6430960.768772,389755.1980806138,13548,239,1.2565760344691055
42,Konstruksi Bangunan Sipil,6338300.290969,384139.41158431,9462,391,1.2384706626691249
45,"Perdagangan, Reparasi dan Perawatan Mobil dan Sepeda Motor",5941301.125682,360078.85606515524,12053,433,1.1608991061411658
6,Pertambangan Minyak Bumi dan Gas Alam Dan Panas Bumi,5548580.622449,336277.613465172,81,48,1.0841635777573617
2,Pengelolaan Kehutanan dan Penebangan,5287455.832276,320451.8686248086,2974,195,1.0331411621129538
77,Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi,5255689.757265,318526.6519566076,3719,264,1.0269342375175186
49,Angkutan Darat dan Angkutan melalui Saluran Pipa,4012499.86066,243181.809726794,4047,308,0.7840214463287355
19,Industri Produk Dari Batu Bara dan Pengilangan Minyak Bumi,3780388.1191319996,229114.431488372,395,104,0.7386680283543531
13,Industri tekstil,3630247.1956909997,220014.981555743,12600,183,0.7093312786877792
