kbli_kode,provinsi,total_investasi_rp_juta,total_investasi_us_ribu,total_tki,row_count,percentage_share
24,Maluku Utara,34853134.95304,2112311.2095788,4116,7,6.810119931188819
24,Sulawesi Tengah,28922691.470024,1752890.3925166,3974,10,5.651342351527985
7,Nusa Tenggara Barat,11813220.677,715952.76861518,7,7,2.308241416227395
46,Daerah Khusus Ibukota Jakarta,10604441.669928,642693.434462762,27827,226,2.0720523325321953
51,Daerah Khusus Ibukota Jakarta,10240444.634744,620633.008184861,312,7,2.000929219287429
29,Jawa Barat,8965119.781009,543340.592823819,10158,44,1.7517374258701872
68,Daerah Khusus Ibukota Jakarta,7746795.147935,469502.73628223303,1881,78,1.5136831768755248
52,Riau,7445906.885462,451267.08389103,706,16,1.4548911871136563
68,Jawa Barat,6822737.345873,413499.233036117,3421,90,1.333127124633112
61,Daerah Khusus Ibukota Jakarta,6662373.367051,403780.20400271897,1524,26,1.3017928435163084
68,Banten,6496380.680026,393720.04127955,865,28,1.2693587423123953
7,Papua Tengah,6231681.1209,377677.64369696996,29,2,1.2176378355472024
63,Daerah Khusus Ibukota Jakarta,6149910.257641,372721.833789996,2662,60,1.2016602373649745
43,Daerah Khusus Ibukota Jakarta,5262757.271624,318954.986133888,7009,34,1.0283151927878273
24,Kalimantan Barat,4812957.591558999,291694.39947755705,784,10,0.9404266923593794
68,Jawa Timur,4808374.086095,291416.611356295,1072,50,0.939531099410362
20,Banten,4732564.568028,286822.095032845,2018,40,0.9247183168397982
16,Jawa Tengah,4600258.183932,278803.526307937,2375,53,0.8988663427040512
50,Daerah Khusus Ibukota Jakarta,4166755.255968,252530.621552581,2065,15,0.8141621422373195
15,Jawa Tengah,3858481.136995,233847.341589352,32699,61,0.7539269948189785
2,Riau,3833628.207426,232341.1034885,1764,14,0.7490708626163998
77,Daerah Khusus Ibukota Jakarta,3718447.609557,225360.46118219002,1736,45,0.7265651773662555
20,Jawa Barat,3608989.644108,218726.645094949,3200,68,0.7051776645030376
9,Kalimantan Selatan,3580446.253206,216996.74261095,982,14,0.6996004354948773
35,Kalimantan Barat,3430419.409298,207904.20665259,5,13,0.670285976371248
63,Jawa Barat,3297414.684998,199843.314221031,511,26,0.6442975502191064
9,Kalimantan Timur,3186697.014107,193133.15235022,2880,18,0.622663897513675
5,Kalimantan Selatan,2977387.783819,180447.74445623902,168,15,0.5817659707450595
55,Bali,2967473.138159,179846.856844843,3169,172,0.5798287009381736
17,Jawa Barat,2893974.9999740003,175392.424264856,1053,40,0.565467549884378
60,Daerah Khusus Ibukota Jakarta,2891535.3412249996,175244.56615323,365,4,0.5649908533492096
45,Daerah Khusus Ibukota Jakarta,2888206.915929,175042.84336034,3021,53,0.5643404964881037
17,Sumatera Selatan,2872079.6005,174065.4303758,78,3,0.561189303564208
27,Jawa Barat,2852005.563664,172848.822032698,4654,46,0.5572669419591342
42,Daerah Khusus Ibukota Jakarta,2838767.191952,172046.496485903,3218,23,0.5546802334987947
20,Jawa Timur,2774670.167433,168161.828316207,1292,62,0.5421560107912857
5,Kalimantan Timur,2756715.521794,167073.667985672,172,17,0.5386477671199967
68,Bali,2681397.999919,162508.969692727,1679,255,0.5239311180271738
52,Daerah Khusus Ibukota Jakarta,2673399.515863,162024.213102906,2826,57,0.5223682561565716
47,Daerah Khusus Ibukota Jakarta,2640008.381615,160000.5079679558,3801,60,0.5158438035019195
46,Banten,2605922.5529509997,157934.70016430362,8816,90,0.5091836111987434
52,Jawa Barat,2488081.4223929998,150792.813499943,1988,60,0.48615807180298637
10,Jawa Timur,2455992.366114,148848.022175573,8779,94,0.4798880383602818
15,Jawa Barat,2447376.075332,148325.82275177402,4478,52,0.4782044602928719
10,Jawa Barat,2413452.874632,146269.8711844,6225,73,0.47157604464165265
46,Jawa Timur,2396339.273493,145232.683242141,5441,142,0.46823213665839225
9,Daerah Khusus Ibukota Jakarta,2380135.141596,144250.614650372,4068,40,0.4650659341991858
64,Daerah Khusus Ibukota Jakarta,2291381.419216,138871.601176761,7984,42,0.44772392193654087
26,Kepulauan Riau,2287079.82355,138610.89843559,2483,10,0.4468834126847788
46,Jawa Barat,2167056.736074,131336.771892135,13150,177,0.42343153034121267
13,Jawa Barat,2161423.92564,130995.389425829,5508,68,0.42233090869966233
22,Jawa Tengah,2148045.977499,130184.604686378,6494,61,0.4197169277365097
1,Riau,2140740.675911,129741.859151218,1412,27,0.4182895100877153
22,Jawa Barat,2106745.565863,127681.549449921,4564,65,0.41164704372671873
35,Jawa Timur,2056835.7666119998,124656.71310359401,590,48,0.4018949304921753
35,Kepulauan Riau,1993043.442156,120790.511694063,166,10,0.38943024458027636
49,Daerah Khusus Ibukota Jakarta,1992046.616671,120730.097974131,1297,24,0.38923547010410764
1,Papua Selatan,1937131.5168239998,117401.91011673001,750,5,0.37850534736205976
10,Papua Selatan,1925002.237203,116666.80227284001,11,5,0.3761353496843981
16,Jawa Timur,1900046.3532600002,115154.324450625,4278,45,0.371259100736645
23,Jawa Timur,1888960.508463,114482.455057406,1546,44,0.36909298475574864
24,Sulawesi Selatan,1859341.924319,112687.3893229,1176,4,0.36330566862236724
86,Daerah Khusus Ibukota Jakarta,1840265.338989,111531.232660353,4640,19,0.35957820381468497
52,Banten,1810698.776669,109739.319795872,3845,32,0.35380105247310656
24,Jawa Timur,1791206.266442,108557.955542197,625,24,0.3499923181200949
52,Jawa Timur,1777598.464896,107733.240291295,1556,66,0.3473334250060913
6,Sumatera Selatan,1770788.9112220001,107320.54005631,0,6,0.3460028739018567
24,Sulawesi Tenggara,1769614.100399,107249.339418884,228,14,0.34577332202332783
10,Sumatera Utara,1733384.340576,105053.59639738301,4623,53,0.33869421680638734
22,Banten,1722255.820931,104379.1406601452,4242,30,0.3365197623838181
35,Maluku Utara,1712501.077822,103787.94411395,42,6,0.33461373669747063
63,Kepulauan Riau,1626102.874,98551.68934,30,1,0.317731980417587
35,Papua Barat,1605733.113998,97317.158419882,4,4,0.31375183605553575
19,Sulawesi Tengah,1591643.038,96463.214439045,47,3,0.31099870904084304
50,Jawa Timur,1567826.230368,95019.77153667201,1016,8,0.3063450296352312
35,Banten,1539560.10929,93306.673291158,127,20,0.30082197769772123
35,Jawa Barat,1512129.046412,91644.184622404,1947,42,0.2954620917565896
35,Riau,1509994.295741,91514.805802662,395,14,0.29504497266207247
42,Sumatera Selatan,1506208.624812,91285.371208666,92,16,0.29430527240035304
19,Kalimantan Timur,1497790.3592879998,90775.173298671,24,5,0.2926603874306573
86,Jawa Barat,1496744.366175,90711.779763115,4610,38,0.29245600585762743
10,Jawa Tengah,1482360.305179,89840.018503059,5651,72,0.28964543571487605
1,Kalimantan Barat,1466279.358766,88865.41567355601,7113,41,0.28650330305372224
1,Kalimantan Tengah,1453265.948915,88076.724174016,4428,33,0.2839605509621692
1,Kalimantan Timur,1451738.9460810001,87984.178561752,4506,29,0.28366218261026005
7,Sulawesi Tenggara,1404367.148141,85113.16050180199,1971,21,0.27440598153216145
9,Jawa Timur,1399682.5373200001,84829.244662517,0,6,0.27349063312620203
68,Maluku Utara,1385249.58792,83954.52045216,1301,7,0.2706705104454959
10,Riau,1382915.1532130002,83813.03958755899,3068,35,0.27021437413673577
12,Jawa Timur,1379696.24036,83617.95396163361,2522,37,0.2695854154331209
10,Kalimantan Timur,1365514.5433119999,82758.457171472,604,23,0.26681438614537406
17,Jawa Timur,1347804.405444,81685.115481874,1280,30,0.2633539180112601
68,Kepulauan Riau,1340952.174875,81269.828780243,927,15,0.26201502806537946
45,Jawa Barat,1330612.1882179999,80643.162922841,2587,52,0.2599946488565668
52,Kepulauan Riau,1321296.593095,80078.58139723401,694,18,0.2581744303854449
20,Sulawesi Tengah,1303540.584032,79002.45964947,146,6,0.25470499926020385
23,Kalimantan Timur,1236811.7490100001,74958.287824505,252,7,0.24166653457171547
20,Kalimantan Timur,1220467.564668,73967.731193726,253,7,0.23847296659866368
30,Jawa Barat,1214265.633971,73591.856605612,1622,32,0.23726114184004732
1,Kalimantan Utara,1203995.060132,72969.39757866699,1151,10,0.23525432553213238
15,Banten,1192357.416729,72264.085857599,4629,18,0.23298039099517834
14,Jawa Tengah,1183344.269053,71717.83448987,21100,78,0.23121926917030441
20,Sumatera Utara,1180412.077494,71540.125915489,257,14,0.2306463343050501
65,Daerah Khusus Ibukota Jakarta,1161381.3594210001,70386.749051455,513,12,0.22692783171903044
1,Sumatera Utara,1133064.807242,68670.594374725,9644,36,0.22139492580865588
41,Daerah Khusus Ibukota Jakarta,1131142.8173530002,68554.110143201,3441,21,0.22101937905602498
64,Kepulauan Riau,1131091.4937769999,68550.99961421,230,6,0.22100935069822217
27,Jawa Tengah,1095267.112084,66379.824974542,3647,19,0.2140094542436068
86,Lampung,1088184.05113,65950.548518937,425,11,0.2126254612501027
10,Lampung,1088005.186318,65939.708258629,1545,24,0.21259051200313164
62,Daerah Khusus Ibukota Jakarta,1077908.91537,65327.813052673606,4194,70,0.2106177535667299
86,Banten,1065661.359445,64585.536932314004,1674,15,0.20822464531906232
22,Kepulauan Riau,1046267.999633,63410.181786561996,1047,7,0.20443528443757014
66,Daerah Khusus Ibukota Jakarta,1044503.975373,63303.27122401082,934,27,0.20409060334106868
70,Daerah Khusus Ibukota Jakarta,1036240.446592,62802.451310839,3012,94,0.20247595312009817
46,Jawa Tengah,1032674.720775,62586.34671777361,7314,145,0.20177922898069944
24,Kepulauan Riau,1027277.8936569999,62259.26628152301,1512,10,0.20072471724248728
1,Sumatera Selatan,1011274.332372,61289.353468034,4824,27,0.1975977052298283
35,Sumatera Utara,1009284.795274,61168.77547718,67,32,0.19720896010652203
38,Jawa Timur,991390.163933,60084.252359679,67,20,0.19371244291457312
55,Jawa Barat,974642.432569,59069.238330197,1051,34,0.19044002396810403
15,Jawa Timur,952162.554626,57706.82149165864,5414,43,0.18604757361789634
14,Jawa Barat,945794.059023,57320.852064598,17326,51,0.18480320294948688
47,Sulawesi Selatan,940012.682018,56970.465577298,604,28,0.18367355217848697
23,Jawa Barat,928816.581341,56291.914014126996,771,42,0.18148589277640542
56,Bali,926074.835777,56125.747619506,3978,145,0.18095017006059225
68,Kalimantan Selatan,923989.2069300001,55999.345876010004,8,9,0.18054264911307483
6,Lampung,914051.3634,55397.05233,0,1,0.1786008465639533
68,Jawa Tengah,899665.6526830001,54525.191071519,800,47,0.17578995407436354
13,Jawa Tengah,897079.880332,54368.477601757,4287,54,0.17528470770703422
22,Jawa Timur,892811.556479,54109.791306519,1266,46,0.17445069959318021
2,Sumatera Selatan,887609.773541,53794.53172546,116,13,0.17343429846566263
10,Kalimantan Barat,884263.579121,53591.73206759,1724,39,0.17278046961084145
35,Sumatera Barat,858922.177528,52055.889546285005,29,14,0.1678288925344816
23,Banten,846374.0682069999,51295.398073236,589,18,0.16537705772820616
68,Kalimantan Timur,843972.468323,51149.846570196,145,11,0.16490779769582153
9,Sulawesi Tenggara,833054.740304,50488.166078573,1394,7,0.16277453085237492
46,Riau,829402.379867,50266.81090059,1012,24,0.16206087876221398
55,Daerah Khusus Ibukota Jakarta,826199.207325,50072.679236084005,848,22,0.16143499563288563
5,Sumatera Selatan,820861.0596210001,49749.15512871,570,11,0.16039194954467517
10,Kalimantan Utara,817809.91646,49564.237361647,63,11,0.1597957721597245
50,Kalimantan Timur,812712.988886,49255.332657627994,741,8,0.1587998592208657
93,Jawa Barat,805714.191189,48831.163094238,392,38,0.1574323308262201
35,Sumatera Selatan,800290.156621,48502.433739343,140,14,0.1563725028948514
86,Jawa Tengah,797810.719788,48352.164839384,2832,39,0.15588803393051612
9,Sumatera Selatan,790587.234918,47914.3778743,564,9,0.15447660283967998
27,Daerah Khusus Ibukota Jakarta,785878.9304760001,47629.026086327,274,14,0.1535566248243373
7,Sulawesi Selatan,785626.638635,47613.7356699,2938,3,0.15350732832067457
5,Kalimantan Tengah,779819.323441,47261.777179795,147,17,0.1523726093634662
61,Jawa Barat,762994.362647,46242.082579005,1049,43,0.14908510019107551
86,Jawa Timur,760787.388793,46108.326594672995,4692,42,0.14865386906506667
25,Jawa Barat,756775.206087,45865.164009298605,2311,44,0.14786990958909652
35,Daerah Khusus Ibukota Jakarta,755394.6036139999,45781.491125394,550,29,0.1476001471005544
56,Daerah Khusus Ibukota Jakarta,739484.258947,44817.2278223746,7483,73,0.14449134912657563
7,Sulawesi Utara,739206.5671999999,44800.398013,95,3,0.14443708961438198
6,Sumatera Barat,736536.7081469999,44638.58837255,0,3,0.14391541314611597
6,Maluku,735718.4,44588.99394,0,1,0.1437555200223196
50,Kepulauan Riau,733945.5137680001,44481.54628882,1255,5,0.14340910734292817
7,Maluku Utara,726284.3955750001,44017.236093117,266,11,0.14191216499407955
25,Jawa Timur,722368.528809,43779.910839608,1012,32,0.14114702514806718
64,Jawa Tengah,717800.823335,43503.080200832,1116,49,0.14025451943429995
20,Sumatera Selatan,716063.781552,43397.804944876,10,7,0.1399151105724098
