kbli_kode,status_penanaman_modal,total_investasi_rp_juta,total_investasi_us_ribu,total_tki,row_count,percentage_share
24,PMA,72904948.692602,4418481.739626604,11908,110,14.245244935433895
68,PMDN,22940623.81549,1390340.837351989,12762,302,4.482477679275351
52,PMDN,16441171.945453001,996434.663331275,13137,334,3.2125188425285653
68,PMA,14849969.834311,899998.17184854,4824,645,2.9016062882852145
35,PMA,14321595.782818,867975.502047373,608,194,2.7983647674279464
46,PMDN,14143406.087505,857176.1264343306,58427,424,2.763547434719754
7,PMDN,13301060.603955,806124.8853832681,2371,74,2.598957541322793
9,PMDN,12780269.313192,774561.776511156,11860,112,2.497197652176715
7,PMA,11072896.152448,671084.6153162379,3690,66,2.1635858836047923
10,PMDN,10826227.021228,656134.9709793236,30854,311,2.115388027968743
61,PMA,10532279.830188,638319.989645812,987,206,2.057952287192034
20,PMA,10490365.096633,635779.702834625,4618,247,2.0497623678984622
46,PMA,10332530.947119,626213.9967859489,22060,1038,2.0189224021715404
51,PMDN,10206310.140485002,618564.250957477,601,17,1.9942595179820093
1,PMDN,9508764.272447,576288.743780347,34607,294,1.857962710672007
50,PMDN,9322950.176722,565027.283411345,6310,102,1.8216556100769634
29,PMA,9249106.764239,560551.9251478045,12042,63,1.807226994234657
63,PMA,9228553.531902,559306.274640566,2022,134,1.8032110003397852
86,PMDN,8751484.629469,530393.007802332,25365,271,1.709994236757777
10,PMA,8649367.183291,524204.0717068792,10078,470,1.6900410228940628
35,PMDN,7742456.426259,469239.783398133,4582,291,1.5128354133959578
15,PMA,7664336.545234,464505.24511856266,42468,147,1.4975711980102469
16,PMDN,7331263.939185001,444319.026636528,7746,113,1.432490556167168
47,PMDN,7195004.187734,436060.859846862,31045,478,1.4058661147668299
20,PMDN,6677984.899678,404726.35755562264,5687,118,1.3048432551835167
42,PMDN,6094160.559826,369343.064244902,7221,357,1.1907670385534694
17,PMA,6016425.063737,364631.822113537,2281,89,1.1755779299699853
27,PMA,5636199.673019,341587.858943241,11278,94,1.1012838810942802
55,PMDN,5514869.378607,334234.507772026,7731,217,1.0775765773654917
1,PMA,5494037.629578,332971.977546223,8951,285,1.073506162768496
22,PMA,5334204.56211,323285.1249548482,9921,177,1.0422756189481637
24,PMDN,5069665.773217,307252.471076821,2798,67,0.9905861258440251
2,PMDN,5013235.769972,303832.470909707,2787,155,0.9795599989164585
52,PMA,4561889.437067,276478.1476955586,2812,271,0.8913692906278997
23,PMA,4489555.814728,272094.291801828,4478,96,0.877235679868075
6,PMDN,4428748.472749,268408.99833344,74,31,0.8653542438901709
43,PMDN,4410497.003934,267302.84870379383,11818,176,0.8617880025257145
5,PMDN,4291340.306999,260081.23072644498,1040,55,0.8385054083537693
45,PMDN,4277066.264779,259216.1372164952,10587,307,0.835716335303324
64,PMDN,4237704.339577,256830.566040236,12300,261,0.8280252213846113
17,PMDN,3255082.904808,197277.7517966116,3424,61,0.636026142198478
5,PMA,3250159.905586,196979.388201352,375,34,0.6350642139481744
49,PMDN,3177697.167628,192587.707119005,3224,255,0.6209053746729933
22,PMDN,3173413.239826,192328.075150986,8659,115,0.6200683176292731
60,PMDN,2912243.7554699997,176499.62156201497,1090,18,0.569037168975715
77,PMA,2898839.212328,175687.22498535961,816,132,0.5664179914887312
26,PMA,2565738.2282,155499.28659499498,4492,65,0.5013318047177233
23,PMDN,2403817.425437,145685.90457522,3681,165,0.46969332836097266
77,PMDN,2356850.544937,142839.426971248,2903,132,0.4605162460287873
41,PMDN,2283525.772751,138395.501374917,8422,247,0.4461889697827174
64,PMA,2253550.732338,136578.832262682,2989,195,0.44033200396228817
63,PMDN,2190047.899126,132730.17571007,1706,39,0.4279238831224645
55,PMA,2126385.503874,128871.848723597,3670,408,0.41548458469616767
19,PMA,2099713.3747509997,127255.35606318599,126,24,0.41027299043377136
25,PMDN,2034838.618517,123323.552649697,3465,96,0.3975968030246487
14,PMA,2028901.6195959998,122963.734527447,31841,131,0.39643674454675787
43,PMA,2020463.764838,122452.34937682,1730,63,0.39478803194339074
13,PMA,1893987.031313,114787.092812937,4305,119,0.3700751409804751
30,PMA,1772219.783964,107407.259643184,1921,62,0.3462824589375333
13,PMDN,1736260.164378,105227.888742806,8295,64,0.3392561377073041
56,PMDN,1718626.271441,104159.16796901301,23358,278,0.3358105674331662
19,PMDN,1680674.744381,101859.075425186,269,80,0.3283950379205817
45,PMA,1664234.860903,100862.71884865999,1466,126,0.3251827708378416
93,PMDN,1547674.280418,93798.441236869,2616,181,0.30240744421596477
33,PMDN,1529713.354572,92709.90028051501,2769,113,0.2988979734251377
9,PMA,1495368.477412,90628.392570412,2442,97,0.2921871644033183
61,PMDN,1444432.751485,87541.37887368082,2244,201,0.2822345904723819
38,PMA,1333568.159911,80822.312723438,212,59,0.26057223023539117
28,PMA,1285742.7908060001,77923.805513867,3132,96,0.2512274037284714
8,PMDN,1245055.242429,75457.89348059981,1759,191,0.24327726998794116
85,PMDN,1230790.939938,74593.390301799,1567,98,0.2404901000295041
47,PMA,1170425.123158,70934.85594707442,2494,222,0.2286949357617884
6,PMA,1119832.1497,67868.615131732,7,17,0.21880933386719095
11,PMDN,1118724.872745,67801.50743869,1291,118,0.21859297775257597
32,PMA,1111866.717008,67385.861641875,9988,143,0.21725293005991736
21,PMDN,1107184.27303,67102.07715674,2885,51,0.21633800504372533
29,PMDN,1095268.631815,66379.917078804,1586,37,0.21400975119108046
25,PMA,992563.751817,60155.378901789605,3392,114,0.1939417558372298
93,PMA,934374.22048,56628.740634113004,1230,258,0.18257182634082808
36,PMDN,921178.570008,55829.004240858,698,70,0.17999346538691538
27,PMDN,915427.0655649999,55480.428223032,2606,42,0.17886965155799095
65,PMA,904870.081821,54840.611016999996,220,8,0.17680687225549438
56,PMA,904340.427384,54808.51075019121,7238,592,0.17670338055401857
12,PMDN,901943.33219,54663.23226120761,3361,53,0.17623500071445433
12,PMA,847155.907298,51342.782260496,359,19,0.1655298249895666
70,PMA,841608.582141,51006.58073560661,2516,340,0.16444590672317902
49,PMA,834802.693032,50594.102607789,823,53,0.16311607165574216
15,PMDN,800252.0602940001,48500.124865328,5047,41,0.15636505907218934
3,PMDN,788837.2280369999,47808.316850005,6690,135,0.15413466066558076
70,PMDN,778098.6302179999,47157.492743008,2786,74,0.15203639492452972
21,PMA,740248.261949,44863.531031158,1000,51,0.14464063130961075
16,PMA,725402.441122,43963.7843114826,2762,101,0.14173983571561236
59,PMDN,660754.109304,40045.70359507,193,103,0.1291078904508588
14,PMDN,635012.613669,38485.612948569,9577,64,0.12407813709527915
62,PMDN,627679.580444,38041.18669112761,3480,46,0.1226453008299352
66,PMDN,608505.3905730001,36879.114573652,896,22,0.11889876460641233
28,PMDN,602088.81586,36490.231262128,1716,61,0.11764499953185474
31,PMDN,587835.971769,35626.4225357313,3172,83,0.114860068484733
62,PMA,585113.9925010001,35461.45409330461,1815,132,0.1143282079995782
30,PMDN,578544.804602,35063.321491266,2040,61,0.11304462310820523
33,PMA,562475.311271,34089.4128039666,4122,118,0.10990472831925731
73,PMDN,547323.291393,33171.10856812,552,45,0.10694410303524865
78,PMDN,543098.207063,32915.042854582,8983,177,0.10611854369760353
71,PMDN,542582.261942,32883.773451586,4447,103,0.10601773072463408
80,PMA,518069.11482200003,31398.128166899,1363,89,0.10122799023204994
66,PMA,489171.001645,29646.72736869082,602,39,0.0955814503501828
31,PMA,474045.164459,28730.009969621,1881,107,0.09262594102698744
26,PMDN,428792.898249,25987.448378258,769,48,0.08378388534208546
18,PMDN,395625.204442,23977.285117193,881,54,0.07730309177872433
86,PMA,377262.350988,22864.384906231,512,76,0.07371508643948933
82,PMDN,339808.293568,20594.442028678,2348,116,0.0663967598877028
11,PMA,325156.502614,19706.454705215,349,48,0.06353387671412634
53,PMDN,307399.60208499996,18630.27891276161,254,63,0.060064271401100315
32,PMDN,307317.55993,18625.306661952,2661,63,0.06004824079393353
38,PMDN,297629.340807,18038.14186663521,594,80,0.058155213545849155
50,PMA,293301.126958,17775.825877724998,294,36,0.05730950324061444
58,PMA,282686.068385,17132.488990342,543,42,0.055235376420857046
2,PMA,274220.062304,16619.397715101604,187,40,0.053581163196495286
65,PMDN,264225.940964,16013.693389813001,443,25,0.051628364258208756
42,PMA,244139.731143,14796.347339408001,2241,34,0.0477036241156552
36,PMA,217926.23567,13207.650648126999,43,16,0.04258164446512065
18,PMA,210163.127206,12737.159225234,661,33,0.041064773751771644
74,PMDN,206306.73158999998,12503.438279159,782,51,0.04031125425682646
71,PMA,204809.573354,12412.701414478,708,92,0.04001871738297381
79,PMDN,187395.37703899998,11357.295577563,729,57,0.0366160746775126
73,PMA,186920.100966,11328.490964055,733,94,0.03652320822340696
78,PMA,181453.035066,10997.153639956,1243,79,0.03545497219525979
3,PMA,173366.628775,10507.068410597,641,58,0.03387493078067173
85,PMA,163575.640428,9913.675177613,682,108,0.03196182296475269
74,PMA,161027.607967,9759.248967054,362,129,0.03146395077416345
59,PMA,156971.715814,9513.437321147,923,77,0.030671450701297315
79,PMA,154780.153648,9380.615372273,360,146,0.030243230938362786
80,PMDN,147157.410821,8918.630958744001,3902,90,0.02875378693493458
82,PMA,144555.724984,8760.953029013,1077,118,0.028245431155831276
41,PMA,141604.406883,8582.085265378606,508,40,0.027668759064497766
51,PMA,137806.716503,8351.922212161,41,6,0.02692671026503773
96,PMA,137582.0937,8338.308708528,220,77,0.02688282014640792
90,PMDN,135868.866171,8234.476737506999,372,25,0.026548064464957045
8,PMA,70541.140308,4275.220625069,13,18,0.013783369163995285
81,PMDN,69723.230712,4225.650345957818,2459,92,0.01362355391497579
81,PMA,61101.160133,3703.10061412,417,55,0.011938846505519553
96,PMDN,54351.737872,3294.044719391,902,50,0.010620044764282313
69,PMDN,49366.52851800001,2991.910818973,916,7,0.009645960980181766
58,PMDN,37226.684350999996,2256.1626883139998,464,30,0.007273899045592377
90,PMA,31896.278781999998,1933.1078047419999,66,30,0.00623236572999029
95,PMDN,23967.371383,1452.567962766,328,35,0.004683098773567749
72,PMA,21162.405863,1282.570052287242,308,22,0.004135023209639653
69,PMA,21026.374346,1274.3257181400002,11,14,0.004108443364055038
95,PMA,19083.542255,1156.578318478,185,34,0.003728824154371339
91,PMDN,16825.782918,1019.744419256,160,17,0.0032876698111121757
72,PMDN,14649.837462,887.8689370899999,236,22,0.002862501471476408
37,PMDN,14225.74308,862.1662472426061,86,38,0.0027796356515880456
91,PMA,11631.351601,704.930400072,85,13,0.0022727051518137845
37,PMA,9381.064738,568.549378057,47,10,0.0018330108908166973
53,PMA,6527.096824,395.58162569800004,469,38,0.0012753605158850867
75,PMDN,3391.346821,205.536170993,68,10,0.0006626513973673832
39,PMDN,505.437714,30.63258872,0,6,9.875988070294618e-05
60,PMA,151.232,9.165575758000001,0,2,2.9549940308704304e-05
97,PMA,17.069259000000002,1.0345005459999999,0,2,3.3352437616629664e-06
94,PMA,5.902153,0.357706242,0,1,1.153249767528301e-06
88,PMDN,5.1,0.309090909,0,1,9.96513274798931e-07
84,PMDN,0.852324,0.051655999999999994,0,2,1.6653964322151453e-07
97,PMDN,0.3,0.018181818,0,1,5.861842792934889e-08
98,PMDN,0.3,0.018181818,0,1,5.861842792934889e-08
