provinsi,total_investasi_rp_juta,total_investasi_us_ribu,total_tki,row_count,percentage_share
Daerah Khusus Ibukota Jakarta,94877459.984966,5750149.089877737,125755,2008,18.53855850082804
Jawa Barat,61340527.850673,3717607.7484844294,129961,2458,11.985617703209645
Maluku Utara,40246969.985117,2439210.3024007883,9378,156,7.86404703149083
Jawa Timur,40093855.723432,2429930.64993273,73295,1924,7.83412930711237
Sulawesi Tengah,36595135.602417,2217887.006622022,9339,275,7.150497729583435
Banten,31894725.017619,1933013.6374941363,55662,1078,6.2320621325723335
Jawa Tengah,25526087.062684,1547035.5795414597,120511,1926,4.987663649340757
Riau,20230430.432756,1226086.6928256545,10778,412,3.9529200943407132
Kalimantan Timur,18091417.704078,1096449.557823722,17163,463,3.534968216087476
Kepulauan Riau,16587118.404133,1005279.9033489319,25928,414,3.2410360157608222
Nusa Tenggara Barat,15124185.075505998,916617.2776167671,8100,606,2.955186509462275
Sumatera Selatan,14035910.508496,850661.242982692,12453,435,2.742543361883545
Kalimantan Barat,12981765.130756,786773.644287934,13632,386,2.5365688790431835
Kalimantan Selatan,10811494.175119,655242.071191911,6922,349,2.112509307042628
Bali,10462848.538726,634112.0326424877,21780,1881,2.0443857766766778
Sumatera Utara,9549749.272288,578772.6831624524,29391,661,1.865970964869887
Papua Tengah,6366865.757265,385870.65195992397,692,46,1.2440522050935923
Sulawesi Selatan,5972784.177845,361986.919830045,9440,458,1.1670507295552084
Sulawesi Tenggara,5446483.107204,330089.88529201964,5889,243,1.064214258293513
Lampung,4665022.01425,282728.6068869866,5046,350,0.9115208557704653
Kalimantan Tengah,4058320.02551,245958.78941861223,8056,276,0.7929744664319709
Papua Selatan,3892363.3727889997,235900.810496377,1179,35,0.760547406142231
Sumatera Barat,3388980.9454949996,205392.78457426702,2004,369,0.662189117691451
Kalimantan Utara,3226825.1989100003,195565.163571043,2049,117,0.6305047345430425
Sulawesi Utara,2033465.653,123240.342606274,5346,209,0.3973285327572896
Kepulauan Bangka Belitung,1855850.05265,112475.760765578,1731,174,0.36262337519647453
Papua Barat,1774501.3167269998,107545.534342931,768,72,0.34672825848365446
Jambi,1725162.001956,104555.272842214,3739,222,0.3370876149270301
Aceh,1565593.199094,94884.43630856971,1520,303,0.30590870702590134
Daerah Istimewa Yogyakarta,1544603.8864220001,93612.35675503321,5251,286,0.301807505318734
Papua Barat Daya,1339375.74562,81174.287608957,901,86,0.26170700204981295
Nusa Tenggara Timur,1292304.852653,78321.506220183,3224,317,0.2525095962266257
Maluku,892012.567428,54061.367724040996,539,95,0.17429458131950562
Gorontalo,829232.960737,50256.543070246,1305,88,0.1620277751520081
Sulawesi Barat,740106.225543,44854.922759477,542,90,0.1446128781401826
Bengkulu,480343.348596,29111.718095838,2751,142,0.09385657320338911
Papua,236100.22795600002,14309.104725456,738,79,0.04613274732180544
Papua Pegunungan,8474.639,513.614484944,47,16,0.0016559000514958311
